num_lectures,price,days_since_published,content_duration
11,0,2576,1.0
25,100,2050,6.5
11,40,2185,1.0
65,95,2537,2.5
21,20,2581,2.0
69,175,1969,9.5
24,40,2221,1.5
12,30,2464,1.0
13,95,2645,1.5
71,100,2909,3.5
95,75,2202,8.5
152,200,2240,5.5
49,40,2786,4.5
19,50,2551,2.0
11,20,2562,0.6333333333333333
138,190,2351,7.5
12,80,2050,0.7333333333333333
14,20,2587,3.0
29,95,2664,2.5
61,200,2040,9.5
92,105,1978,4.0
28,100,2598,2.5
16,75,2707,2.0
16,30,2384,3.0
14,30,2546,1.5
99,80,2554,2.0
7,0,2088,1.0
15,60,2235,1.5
12,0,2643,1.0
11,50,1938,2.0
49,200,2686,4.5
100,125,2521,20.5
16,95,2352,1.0
61,75,2801,6.0
16,20,2664,1.5
36,200,2590,2.5
12,40,2648,1.0
25,50,2649,2.0
12,60,2140,1.0
42,95,2685,5.0
16,75,2470,1.5
26,20,2628,3.0
30,20,1990,2.5
8,0,2657,1.0
20,0,2750,3.0
21,0,1974,3.0
87,40,2196,10.0
13,25,2907,1.5
60,20,2250,6.5
28,50,2217,3.0
56,200,2406,11.0
161,145,1971,14.0
98,50,2469,0.5166666666666666
24,95,2881,1.5
76,150,3509,13.0
224,200,3079,28.5
17,40,2421,1.5
6,50,2000,0.5333333333333333
18,50,2846,2.0
18,20,2481,1.0
12,25,2295,1.0
10,60,3521,2.0
31,20,2166,4.0
32,25,1960,3.5
29,200,2697,2.5
45,0,3538,10.5
91,200,2831,10.0
68,20,2623,6.5
24,30,3502,4.0
25,50,2313,1.5
11,40,2392,1.0
25,105,1951,1.5
26,60,2189,0.6333333333333333
69,100,2827,10.0
37,50,2513,1.5
66,20,2848,5.5
35,60,2273,4.0
45,75,2683,4.5
53,45,2474,7.0
10,25,2159,1.0
9,40,2697,2.0
60,50,2398,13.5
29,50,2008,3.5
34,35,2707,1.0
19,25,2403,1.0
18,30,2047,2.5
34,20,2146,1.5
96,195,2231,12.5
9,100,2845,1.0
16,20,3225,3.0
16,100,1935,1.0
36,100,2102,3.0
21,200,2746,2.0
35,45,2278,1.5
83,85,2000,5.0
8,20,2341,1.0
91,60,2343,16.5
30,20,2007,2.5
25,65,2677,1.0
14,40,1983,1.0
28,95,2613,5.0
13,35,2442,1.5
9,0,3294,2.0
22,195,2630,2.0
12,25,3001,3.5
9,35,2234,0.5666666666666667
29,200,2614,1.5
23,30,2670,0.7166666666666667
66,100,1956,12.5
15,25,2084,2.5
52,30,2033,3.5
14,30,2567,2.0
13,20,2846,1.5
55,50,3379,7.5
156,195,1950,24.0
158,150,2124,17.5
35,20,2420,5.0
30,20,2693,2.0
23,50,3079,3.0
108,50,2747,7.0
192,50,2837,6.0
49,50,2775,1.0
348,200,2202,19.5
12,30,2151,0.5833333333333334
15,20,2895,1.0
7,0,2216,1.0
10,50,2799,1.0
21,25,2351,3.0
5,45,2473,1.0
105,200,2267,12.5
28,45,2914,2.5
8,120,3533,2.5
34,195,2742,2.0
15,20,2019,1.0
19,40,2589,2.5
7,200,2588,1.5
8,25,2410,0.5666666666666667
30,95,2036,3.0
16,100,3393,1.0
15,45,2089,1.0
60,200,1973,5.0
16,20,2049,1.0
24,35,1935,3.5
95,0,3782,4.5
7,0,2894,1.0
18,35,3037,1.0
10,0,2329,0.5666666666666667
48,75,2177,4.5
20,50,2516,1.5
24,0,3043,1.0
5,30,2929,0.55
32,0,2120,2.0
8,20,2165,0.6166666666666667
304,20,2768,15.5
8,0,2469,1.0
12,25,2232,0.7
33,200,3434,2.5
48,30,2231,3.5
24,50,2097,1.0
47,60,2902,13.0
15,35,3143,2.0
38,100,2193,6.0
24,20,2644,2.0
34,200,2014,1.5
29,200,2523,2.0
110,50,3209,7.5
6,50,2406,0.6833333333333333
18,40,2279,2.0
15,50,2578,3.0
15,0,1952,3.0
25,195,2740,1.5
12,0,2078,0.5
11,20,2620,1.0
24,115,2736,2.0
97,45,3545,10.0
36,0,2964,4.5
7,0,1959,0.5833333333333334
14,20,3065,1.5
24,100,2202,2.0
43,75,1938,1.0
41,90,3097,3.5
113,75,3135,10.0
14,45,2225,1.0
24,0,1938,1.5
21,35,2416,1.0
13,20,2868,1.5
8,20,2637,0.6833333333333333
14,50,2755,3.5
40,95,3316,5.5
38,195,2373,5.0
21,30,2356,2.5
39,40,3335,3.0
5,20,2699,1.0
54,40,2354,11.5
21,20,2629,1.0
47,100,2071,3.5
10,20,2435,0.7333333333333333
7,20,2209,1.0
20,0,2939,3.0
6,40,2751,1.5
246,200,2621,32.5
18,95,2229,1.5
49,100,2621,9.0
